"product_name","source","id","Reviewer","Rating","Title","Date","Body","Number","image_urls"
"product1","all review","23","braz","4.0 out of 5 stars","Mostly satisfactory","Reviewed in the United States on February 16, 2024","They sound good, they're comfortable, the price was right and I'll keep them.  The wireless charging feature is questionable ... they stalled out at 81%, never got any higher and generated considerable heat in the process, but I do appreciate the  clear status readout ... connected to a USB cable they charge up to 100% very quickly and deliver good sound for longer than I'm used to with earbuds","4",""
"product1","all review","24","MotherofChaos","4.0 out of 5 stars","Touchy touch feature","Reviewed in the United States on February 4, 2024","These area a great affordable set! They have excellent sound quality and an impressive battery life! My star deduction is for the touch feature.  Sometimes a wisp of hair or a strong breeze will cause an unexpected pause while other times I'm tapping the crap out of them and nothing happens.  This is definitely annoying.  BUT, for the price this is an excellent buy and I would definitely recommend for anyone on a budget!","4",""
"product1","all review","25","Rene A.","4.0 out of 5 stars","Good product compared to others","Reviewed in the United States on March 16, 2024","This is better compared to more expensive comparable products I bought. However, it only works on my Ipad and I can't use it on my Google phone.","4",""
"product1","all review","26","Nessa","4.0 out of 5 stars","Clear audio either a long battery life","Reviewed in the United States on March 1, 2024","I like the noise cancelation and that I can tap to end music or to play.  Is small and neat.  Audio is clear.","4",""
"product1","all review","27","Lck143","4.0 out of 5 stars","Great sound","Reviewed in the United States on March 7, 2024","Great sound, easy pairing and awesome battery life. Some trouble figuring out the operating of functions and unfortunately hurt my ears. But most earbuds do. Need to try a different type. Still using these just not for long periods.","4",""
"product1","all review","28","James Brian Copp","4.0 out of 5 stars","Pretty darn good for the price","Reviewed in the United States on February 25, 2024","These have already lasted longer than any other cheap pair I've purchased.  Better quality sound than I expected.  I love how you can just put them back in the little case and the little case recharges them.","4",""
"product1","all review","29","Esty Blatt","4.0 out of 5 stars","Poor noise cancelling","Reviewed in the United States on February 5, 2024","Great battery life and the case charges the earphones well. Good bluetooth and connects automatically to device when you open the case.These are cheap headphones in price and value.Poor noise canceling, people have a hard time hearing me if I'm outside or on the bus because of the background noise.If I'm speaking softly (if someone is sleeping in the other room) the earphones don't pick up the sound well.","4",""
"product1","all review","30","Katie","2.0 out of 5 stars","These work, but a couple of things you should know...","Reviewed in the United States on November 23, 2022","I bought these after dropping my Apple Air Pods in a bowl of marinade (FYI - They are not oil proof). I figured if I was going to be doing dumb things like that, I shouldn't be spending $150 on headphones. So I found these which were a bargain at $30.I've been using them for a couple of months now and I've noticed a couple of unusual things:1. Unlike Air Pods, these will not automatically stop playing if you take one of the ear buds out. The Apple ones will automatically pause whatever you are listening to if you take one out. A couple of times these did stop playing when I took them out, but most of the time they don't.2. I've discovered that occasionally, even if I pause what I'm listening to, take the headphones out and put them in their case, sometimes they will begin playing again all on their own, even though they are in the case. I realized that after I went back to pick up where I left off in my audio book and found that it had been playing for more than an hour and I had to go back and figure out where I was in the book.3. Occasionally, not all the time, after I pause what I'm listening to and take the headphones out, the music or audiobook will all of a sudden start up again but play out of my phone speaker, not the headphones. It's a little awkward at work when that happens, especially if I get up from my desk and walk away only to find when I come back that my phone has been playing my audio book out loud the whole time.4. Most annoying of all: Sometimes I will put the headphones on, and it will start playing really loud and will not allow me to turn it down. The headphones will say ""Volume Maximized"" while it's blasting my ear drums. I try to turn it down on my phone and see that the volume goes down, then the headphones bring it back to full volume and again scream at me ""Volume Maximized"". It's awful.The only good thing I can really say about these is that they were cheap. I would not recommend them to anyone now that I've had a chance to use them for a while. I'm probably going to start looking for an alternative.","2",""
"product1","all review","31","Sheila","2.0 out of 5 stars","These last two months max","Reviewed in the United States on February 24, 2024","Second set died 45 days after I received them as a replacement for the first set that did the same thing. They’ll drop connection in the middle of a speaking on the phone and don’t even think about trying to connect and put them in your ears after you’ve already picked up a call. They won’t connect properly mid call without having to switch several times between audio sources until they finally decide to work. I knew I should have just purchased a set of AirPods but I got these trying to save money. Well ya get what you pay for. And it’s too late to return them.  Junk.","2",""
"product1","all review","32","Dennis G","2.0 out of 5 stars","Waterproof? Not whatsoever....","Reviewed in the United States on November 7, 2023","I bought these as a replacement so I could have music for working out.I AM A SWEAT-ER IN THE GYM.... If you are too, try something else. I had a pair and after a week of cardio and weights, one ear bud went out in a blaze of glory by the volume shooting up in ear to the max before dying completely. Then, you put it in the case and it becomes a blackhole and sucks the energy out of the case and still doesn't charge. Thought it was a fluke, returned them and started fresh.New day! Similar results... A very annoying thing about these is when you put them in the case, they stay connected to your phone so if you're in the vicinity of your earbuds watching social media videos, they're silent and you don't know why. Then you have to unnecessarily deal with that.My 2nd pair just died and it's outside the return window. We'll see what happens. They're decent if you use them for everyday use and don't sweat in your cubicle. ""Value for the money"" is true.","2",""
